Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,uptrend,0.950000,80,0.080000,12.070000,0.000000,0.592975,0.898237,0.015966,0.975789,0.960000,0.975000,0.967863
Unlu_CS=T,uptrend,0.950000,80,0.080000,55.710000,0.000000,0.546116,0.547824,0.488685,1.000000,0.400000,0.970000,0.632456
