Time window,0.005,0.08,0.155,0.23,0.305,0.38,0.455,0.53,0.605,0.68,0.755,0.83,0.905,0.98,1.055,1.13,1.205,1.28,1.355,1.43,1.505,1.58,1.655,1.73,1.805
100,0.29664793610572815,0.968504011631012,0.9989995360374451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,0.5269079208374023,0.95603346824646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,0.27914154529571533,0.944781482219696,0.9949995279312134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,0.16632498800754547,0.9099450707435608,0.9919677376747131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.1401427835226059,0.8979888558387756,0.9623637199401855,0.990959107875824,0.9979979991912842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.0,0.8774964213371277,0.8966604471206665,0.9423375129699707,0.990959107875824,0.9989995360374451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.0,0.8346280455589294,0.8988882303237915,0.9391485452651978,0.9665650725364685,0.9838699102401733,0.9989995360374451,0.9989995360374451,1.0,0.9989995360374451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.2101428061723709,0.7722693681716919,0.8602325320243835,0.8831760883331299,0.9115832448005676,0.9562844634056091,0.9402127265930176,0.9705668091773987,0.9889752268791199,1.0,0.9859005808830261,0.9969955086708069,1.0,0.9979979991912842,0.9989995360374451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.11760952323675156,0.5761909484863281,0.7696908712387085,0.81281977891922,0.8405855298042297,0.8797726631164551,0.8774964213371277,0.8999999761581421,0.9033271670341492,0.9276551008224487,0.9391485452651978,0.9549869298934937,0.9685659408569336,0.9570788741111755,0.9622889161109924,0.9767292141914368,0.9939919710159302,0.9959919452667236,0.990959107875824,0.9929752945899963,0.9969955086708069,0.9899495244026184,0.9969955086708069,0.9969955086708069,0.9989995360374451
10,0.2269713580608368,0.14071246981620789,0.518921971321106,0.6352322697639465,0.7021395564079285,0.7168933153152466,0.7434137463569641,0.7745966911315918,0.8209335803985596,0.8474714756011963,0.834496259689331,0.8608275055885315,0.8512038588523865,0.8725846409797668,0.8613942265510559,0.8683317303657532,0.8683317303657532,0.8834229111671448,0.8910667896270752,0.8968768119812012,0.892188310623169,0.8955445289611816,0.9055606126785278,0.8944271802902222,0.8933084011077881
