Pattern-Name,time_window,abnormality_value,monitoring_method,valid_loss,itest_loss,btest_loss,valid_specificity,itest_specificity,btest_specificity,valid_sensitivity,itest_sensitivity,btest_sensitivity,valid_accuracy,itest_accuracy,btest_accuracy,valid_gmean,itest_gmean,btest_gmean,train_time
cyclic,70,0.455,loss_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,gmean_method,0.1714700609445572,0.1854533553123474,0.1769545525312423,0.7873684167861938,0.7778947353363037,0.8159999847412109,0.6200000047683716,0.4799999892711639,0.5720000267028809,0.7789999842643738,0.7630000114440918,0.6940000057220459,0.6986904740333557,0.6110560297966003,0.6831924915313721,296.6873502731323
cyclic,70,0.455,both_0.01_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,both_0.018374356705068005_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,both_0.03376169843250776_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,both_0.06203494899678329_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,both_0.11398522810475967_method,0.1684768944978714,0.187524989247322,0.1648831516504287,0.8052631616592407,0.8084210753440857,0.8199999928474426,0.5199999809265137,0.4000000059604645,0.5540000200271606,0.7910000085830688,0.7879999876022339,0.6869999766349792,0.6470987796783447,0.5686548948287964,0.6740029454231262,363.2362596988678
cyclic,70,0.455,both_0.2094405240305397_method,0.1692462116479873,0.1889300346374511,0.1647814959287643,0.7621052861213684,0.7621052861213684,0.7879999876022339,0.5799999833106995,0.4600000083446502,0.6000000238418579,0.753000020980835,0.746999979019165,0.6940000057220459,0.6648465991020203,0.5920882225036621,0.687604546546936,388.7871525287628
cyclic,70,0.455,both_0.38483348970335035_method,0.1714700609445572,0.1854533553123474,0.1769545525312423,0.7873684167861938,0.7778947353363037,0.8159999847412109,0.6200000047683716,0.4799999892711639,0.5720000267028809,0.7789999842643738,0.7630000114440918,0.6940000057220459,0.6986904740333557,0.6110560297966003,0.6831924915313721,296.6873502731323
cyclic,70,0.455,both_0.7071067811865475_method,0.1714700609445572,0.1854533553123474,0.1769545525312423,0.7873684167861938,0.7778947353363037,0.8159999847412109,0.6200000047683716,0.4799999892711639,0.5720000267028809,0.7789999842643738,0.7630000114440918,0.6940000057220459,0.6986904740333557,0.6110560297966003,0.6831924915313721,296.6873502731323
