epoch,accuracy,geometric_mean,loss,sensitivity,specificity,val_accuracy,val_geometric_mean,val_loss,val_sensitivity,val_specificity
0,0.6186666488647461,0.799670934677124,0.1836775839328766,0.8999999761581421,0.7105262875556946,0.9629999995231628,0.5471457242965698,0.5367100238800049,0.30000001192092896,0.9978947639465332
1,0.8489999771118164,0.7980238795280457,0.11392921954393387,1.0,0.6368421316146851,0.9779999852180481,0.773780882358551,0.15724986791610718,0.6000000238418579,0.9978947639465332
2,0.8996666669845581,0.8777962923049927,0.1444520503282547,0.800000011920929,0.9631578922271729,0.9620000123977661,0.4898979365825653,0.2961098551750183,0.23999999463558197,1.0
3,0.9236666560173035,0.8366600275039673,0.09353005141019821,0.699999988079071,1.0,0.9909999966621399,0.9366008043289185,0.022280920296907425,0.8799999952316284,0.996842086315155
4,0.9706666469573975,0.946183443069458,0.03847648948431015,0.8999999761581421,0.9947368502616882,0.9929999709129333,0.9576506018638611,0.020934948697686195,0.9200000166893005,0.996842086315155
5,0.9763333201408386,0.9920738339424133,0.03677862137556076,1.0,0.9842105507850647,0.9950000047683716,0.9586613774299622,0.012545846402645111,0.9200000166893005,0.9989473819732666
6,0.987333357334137,1.0,0.018368517979979515,1.0,1.0,0.9940000176429749,0.9481838345527649,0.028644809499382973,0.8999999761581421,0.9989473819732666
7,0.9860000014305115,0.8849620819091797,0.020222989842295647,0.800000011920929,0.9789473414421082,0.9929999709129333,0.9868183732032776,0.008666167967021465,0.9800000190734863,0.9936842322349548
8,0.9769999980926514,0.9651833772659302,0.01854710280895233,1.0,0.9315789341926575,0.9950000047683716,0.9586613774299622,0.013104126788675785,0.9200000166893005,0.9989473819732666
9,0.9900000095367432,0.9486832618713379,0.020178258419036865,0.8999999761581421,1.0,0.996999979019165,0.9889069199562073,0.005231878720223904,0.9800000190734863,0.9978947639465332
10,0.9869999885559082,0.9973649382591248,0.0201535914093256,1.0,0.9947368502616882,0.9890000224113464,0.8831760883331299,0.10494554787874222,0.7799999713897705,1.0
11,0.9929999709129333,0.9867543578147888,0.015606536529958248,1.0,0.9736841917037964,0.9940000176429749,0.9380831718444824,0.04414325952529907,0.8799999952316284,1.0
12,0.9906666874885559,0.946183443069458,0.01788909174501896,0.8999999761581421,0.9947368502616882,0.9950000047683716,0.9878631830215454,0.006279095076024532,0.9800000190734863,0.9957894682884216
13,0.987666666507721,0.9486832618713379,0.020174240693449974,0.8999999761581421,1.0,0.9909999966621399,0.9857724905014038,0.006760222837328911,0.9800000190734863,0.9915789365768433
14,0.9896666407585144,0.9840838313102722,0.019461102783679962,1.0,0.9684210419654846,0.9950000047683716,0.9586613774299622,0.044196873903274536,0.9200000166893005,0.9989473819732666
15,0.9890000224113464,0.9411638975143433,0.021478088572621346,0.8999999761581421,0.9842105507850647,0.9959999918937683,0.978763997554779,0.007794175762683153,0.9599999785423279,0.9978947639465332
16,0.9860000014305115,1.0,0.014920615591108799,1.0,1.0,0.9959999918937683,0.9883852005004883,0.003701533190906048,0.9800000190734863,0.996842086315155
17,0.9836666584014893,0.9787209630012512,0.022259358316659927,1.0,0.9578947424888611,0.9950000047683716,0.9685148596763611,0.020700331777334213,0.9399999976158142,0.9978947639465332
18,0.9906666874885559,0.9894176721572876,0.01408335566520691,1.0,0.9789473414421082,0.9980000257492065,0.9797958731651306,0.01611657813191414,0.9599999785423279,1.0
19,0.9926666617393494,1.0,0.01941615529358387,1.0,1.0,0.9950000047683716,0.9486832618713379,0.04166784510016441,0.8999999761581421,1.0
20,0.984666645526886,0.9486832618713379,0.01615014486014843,0.8999999761581421,1.0,0.996999979019165,0.9889069199562073,0.006686496082693338,0.9800000190734863,0.9978947639465332
21,0.9860000014305115,0.9973649382591248,0.021002741530537605,1.0,0.9947368502616882,0.9959999918937683,0.9591662883758545,0.04792175441980362,0.9200000166893005,1.0
22,0.9953333139419556,1.0,0.008124102838337421,1.0,1.0,0.9990000128746033,0.9899495244026184,0.007916751317679882,0.9800000190734863,1.0
23,0.9900000095367432,0.9920738339424133,0.019867120310664177,1.0,0.9842105507850647,0.996999979019165,0.9695359468460083,0.044016558676958084,0.9399999976158142,1.0
24,0.9933333396911621,0.9973649382591248,0.009662093594670296,1.0,0.9947368502616882,0.9959999918937683,0.9591662883758545,0.0387360081076622,0.9200000166893005,1.0
25,0.9886666536331177,0.9947229027748108,0.017419200390577316,1.0,0.9894737005233765,0.9950000047683716,0.9486832618713379,0.024160059168934822,0.8999999761581421,1.0
26,0.9883333444595337,0.9973649382591248,0.01261898409575224,1.0,0.9947368502616882,0.9950000047683716,0.9685148596763611,0.023292791098356247,0.9399999976158142,0.9978947639465332
27,0.9896666407585144,0.9920738339424133,0.019208110868930817,1.0,0.9842105507850647,0.9929999709129333,0.9273618459701538,0.08098815381526947,0.8600000143051147,1.0
28,0.9926666617393494,0.9973649382591248,0.01880236156284809,1.0,0.9947368502616882,0.996999979019165,0.9695359468460083,0.020948605611920357,0.9399999976158142,1.0
29,0.9923333525657654,1.0,0.013173891231417656,1.0,1.0,0.9929999709129333,0.9273618459701538,0.04027289152145386,0.8600000143051147,1.0
30,0.9943333268165588,1.0,0.009816259145736694,1.0,1.0,0.9950000047683716,0.9486832618713379,0.03639654815196991,0.8999999761581421,1.0
31,0.9916666746139526,1.0,0.01327039860188961,1.0,1.0,0.9900000095367432,0.9947229027748108,0.004110012669116259,1.0,0.9894737005233765
32,0.9919999837875366,0.9973649382591248,0.025087231770157814,1.0,0.9947368502616882,0.9959999918937683,0.9591662883758545,0.021384064108133316,0.9200000166893005,1.0
33,0.9936666488647461,0.9486832618713379,0.01185908168554306,0.8999999761581421,1.0,0.9940000176429749,0.958156168460846,0.04164433479309082,0.9200000166893005,0.9978947639465332
34,0.9936666488647461,0.9486832618713379,0.013458287343382835,0.8999999761581421,1.0,0.9929999709129333,0.9868183732032776,0.006893888581544161,0.9800000190734863,0.9936842322349548
35,0.9850000143051147,0.9259418845176697,0.016361534595489502,0.8999999761581421,0.9526315927505493,0.9890000224113464,0.9556260108947754,0.02660837583243847,0.9200000166893005,0.9926315546035767
36,0.987333357334137,0.9840838313102722,0.01686905324459076,1.0,0.9684210419654846,0.9959999918937683,0.9690255522727966,0.019963202998042107,0.9399999976158142,0.9989473819732666
37,0.9863333106040955,0.9973649382591248,0.01599234715104103,1.0,0.9947368502616882,0.9959999918937683,0.9690255522727966,0.03234132379293442,0.9399999976158142,0.9989473819732666
38,0.9869999885559082,0.9867543578147888,0.015966936945915222,1.0,0.9736841917037964,0.9959999918937683,0.9690255522727966,0.017649171873927116,0.9399999976158142,0.9989473819732666
39,0.9913333058357239,0.9486832618713379,0.024350479245185852,0.8999999761581421,1.0,0.9959999918937683,0.9883852005004883,0.003838767996057868,0.9800000190734863,0.996842086315155
40,0.9900000095367432,0.9486832618713379,0.01493630651384592,0.8999999761581421,1.0,0.9879999756813049,0.9842014908790588,0.004912234377115965,0.9800000190734863,0.9884210228919983
41,0.9890000224113464,0.9973649382591248,0.016030438244342804,1.0,0.9947368502616882,0.996999979019165,0.9889069199562073,0.0023548577446490526,0.9800000190734863,0.9978947639465332
42,0.9906666874885559,1.0,0.017243502661585808,1.0,1.0,0.9950000047683716,0.9486832618713379,0.03337867930531502,0.8999999761581421,1.0
43,0.9916666746139526,0.9867543578147888,0.014360562898218632,1.0,0.9736841917037964,0.9909999966621399,0.9055384993553162,0.08526500314474106,0.8199999928474426,1.0
44,0.9926666617393494,0.9867543578147888,0.011332061141729355,1.0,0.9736841917037964,0.9950000047683716,0.9782475829124451,0.007833375595510006,0.9599999785423279,0.996842086315155
45,0.9906666874885559,0.8944271802902222,0.02883424423635006,0.800000011920929,1.0,0.9929999709129333,0.9963089823722839,0.0036414284259080887,1.0,0.9926315546035767
46,0.9943333268165588,0.9973649382591248,0.009044595994055271,1.0,0.9947368502616882,0.9869999885559082,0.8602325320243835,0.15232159197330475,0.7400000095367432,1.0
47,0.9906666874885559,1.0,0.0283658429980278,1.0,1.0,0.9919999837875366,0.9165151119232178,0.08235020935535431,0.8399999737739563,1.0
48,0.9863333106040955,0.9814060926437378,0.024297213181853294,1.0,0.9631578922271729,0.9980000257492065,0.9894283413887024,0.0060490937903523445,0.9800000190734863,0.9989473819732666
49,0.987666666507721,0.9867543578147888,0.014297999441623688,1.0,0.9736841917037964,0.9980000257492065,0.9797958731651306,0.0070540583692491055,0.9599999785423279,1.0
50,0.9946666955947876,1.0,0.010794510133564472,1.0,1.0,0.9950000047683716,0.9486832618713379,0.019623633474111557,0.8999999761581421,1.0
51,0.9936666488647461,0.9486832618713379,0.017506180331110954,0.8999999761581421,1.0,0.9959999918937683,0.9883852005004883,0.006335111800581217,0.9800000190734863,0.996842086315155
52,0.9926666617393494,0.9486832618713379,0.02799031510949135,0.8999999761581421,1.0,0.9959999918937683,0.978763997554779,0.008042177185416222,0.9599999785423279,0.9978947639465332
53,0.9926666617393494,1.0,0.012573013082146645,1.0,1.0,0.9909999966621399,0.9952518939971924,0.003232080489397049,1.0,0.9905263185501099
