epoch,val_loss,val_geometric_mean
0,0.211090207,0.438394189
1,0.211786956,0.267069876
2,0.210728034,0.489360482
3,0.211936548,0.353270411
4,0.210226312,0.474929363
5,0.209622502,0.479473412
6,0.210397631,0.457452893
7,0.212724939,0.464078039
8,0.216900378,0.438754231
9,0.210325584,0.450146168
10,0.210409701,0.437697321
11,0.211161137,0.463328928
12,0.211554229,0.485299706
13,0.211437434,0.475062311
14,0.217991397,0.484974205
15,0.213289753,0.457912892
16,0.217364714,0.490735233
17,0.214544907,0.432617486
18,0.211343214,0.42875585
19,0.209834322,0.492726028
20,0.208609313,0.475173086
21,0.208742186,0.484974205
22,0.211368933,0.475726604
23,0.214223608,0.457452893
24,0.210903823,0.495197982
25,0.211394027,0.419648975
26,0.219153881,0.483670175
27,0.213216037,0.490756661
28,0.210614055,0.5171175
29,0.208711028,0.48098582
30,0.211125717,0.464078039
31,0.209886342,0.494602442
32,0.210763276,0.490413338
33,0.212527379,0.490348965
34,0.211634621,0.497996002
35,0.211303338,0.514423549
36,0.207088485,0.502058923
37,0.212983012,0.447307765
38,0.214846522,0.470296681
39,0.21172902,0.470363796
40,0.214690685,0.462032139
41,0.21528922,0.493814379
42,0.210781038,0.483408958
43,0.216700643,0.483866006
44,0.214417249,0.456277847
45,0.217605755,0.476345718
46,0.212087065,0.439617068
47,0.211510435,0.512167752
48,0.210035622,0.505652249
49,0.209549427,0.518296778
50,0.210516959,0.447307765
51,0.209539577,0.491785139
52,0.211721823,0.469355673
53,0.21042037,0.502729416
54,0.213028505,0.435164839
55,0.211582005,0.474441499
56,0.212763503,0.459014952
57,0.212923691,0.438033879
58,0.213508546,0.459404647
59,0.21261619,0.505756378
60,0.213106692,0.487442315
61,0.211728409,0.480394572
62,0.211357087,0.448858202
63,0.211068347,0.449888885
64,0.212157443,0.457544923
65,0.213075802,0.484192222
66,0.212408125,0.505152404
67,0.213449806,0.484887391
68,0.21106565,0.503357112
69,0.208697438,0.484583378
70,0.209317237,0.517422795
71,0.209879994,0.55849421
72,0.211213589,0.493110448
73,0.209470674,0.473708779
74,0.21150434,0.511777103
75,0.21167931,0.475527406
76,0.209325567,0.534041226
77,0.211447939,0.493110448
78,0.214954719,0.490413338
79,0.212982476,0.490348965
80,0.211441755,0.484974205
81,0.21327354,0.457912892
82,0.217852265,0.508620381
83,0.210336164,0.474707663
84,0.211252868,0.531927943
85,0.211040765,0.460434586
86,0.2133656,0.452920347
87,0.212109536,0.494793952
88,0.215945169,0.443075389
89,0.214511827,0.503357112
90,0.215247467,0.457176685
91,0.21350722,0.474707663
92,0.215690255,0.505756378
93,0.21307756,0.493814379
94,0.212801754,0.451663613
95,0.215295747,0.492213041
96,0.216780901,0.503148019
97,0.215885624,0.508351326
98,0.211473256,0.510727048
99,0.212179139,0.507833362
100,0.213015884,0.507729769
101,0.21209833,0.539746523
102,0.212594479,0.497869134
103,0.215187162,0.498481899
104,0.210431531,0.518520176
105,0.210245654,0.521818697
106,0.213761568,0.495346755
107,0.210525379,0.544928789
108,0.215854988,0.548298836
109,0.215210795,0.529150248
110,0.216182306,0.489962399
