Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.95,80,1.505,13.0,13.0,70.0,70.0
upshift,0.95,80,1.505,19.0,25.0,59.0,63.0
upshift,0.95,80,1.505,5.0,5.0,55.0,50.0
upshift,0.95,80,1.505,12.0,12.0,54.0,58.0
upshift,0.95,80,1.505,4.0,4.0,56.0,42.0
upshift,0.95,80,1.505,10.0,10.0,58.0,55.0
upshift,0.95,80,1.505,7.0,8.0,47.0,45.0
upshift,0.95,80,1.505,9.0,10.0,61.0,45.0
upshift,0.95,80,1.505,7.0,5.0,56.0,57.0
upshift,0.95,80,1.505,3.0,3.0,48.0,36.0
upshift,0.95,80,1.505,13.0,13.0,61.0,62.0
upshift,0.95,80,1.505,8.0,9.0,57.0,50.0
upshift,0.95,80,1.505,5.0,5.0,47.0,44.0
upshift,0.95,80,1.505,6.0,6.0,56.0,43.0
upshift,0.95,80,1.505,7.0,7.0,56.0,43.0
upshift,0.95,80,1.505,11.0,12.0,56.0,41.0
upshift,0.95,80,1.505,7.0,6.0,58.0,54.0
upshift,0.95,80,1.505,6.0,7.0,58.0,53.0
upshift,0.95,80,1.505,11.0,11.0,54.0,59.0
upshift,0.95,80,1.505,12.0,13.0,65.0,49.0
upshift,0.95,80,1.505,7.0,7.0,57.0,56.0
upshift,0.95,80,1.505,12.0,13.0,64.0,54.0
upshift,0.95,80,1.505,9.0,8.0,62.0,49.0
upshift,0.95,80,1.505,10.0,12.0,61.0,50.0
upshift,0.95,80,1.505,9.0,10.0,56.0,58.0
upshift,0.95,80,1.505,11.0,12.0,61.0,52.0
upshift,0.95,80,1.505,6.0,6.0,53.0,53.0
upshift,0.95,80,1.505,10.0,12.0,66.0,52.0
upshift,0.95,80,1.505,5.0,7.0,52.0,39.0
upshift,0.95,80,1.505,12.0,13.0,60.0,49.0
upshift,0.95,80,1.505,7.0,6.0,46.0,48.0
upshift,0.95,80,1.505,6.0,5.0,58.0,44.0
upshift,0.95,80,1.505,6.0,6.0,51.0,43.0
