Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.75,50,1.655,7.0,8.0,30.0,31.0
upshift,0.75,50,1.655,6.0,6.0,28.0,30.0
upshift,0.75,50,1.655,4.0,4.0,23.0,24.0
upshift,0.75,50,1.655,5.0,6.0,28.0,24.0
upshift,0.75,50,1.655,5.0,6.0,22.0,22.0
upshift,0.75,50,1.655,6.0,6.0,30.0,29.0
upshift,0.75,50,1.655,7.0,8.0,28.0,27.0
upshift,0.75,50,1.655,6.0,8.0,29.0,28.0
upshift,0.75,50,1.655,7.0,10.0,19.0,18.0
upshift,0.75,50,1.655,5.0,6.0,25.0,24.0
upshift,0.75,50,1.655,6.0,6.0,29.0,27.0
upshift,0.75,50,1.655,7.0,8.0,33.0,33.0
upshift,0.75,50,1.655,8.0,9.0,29.0,29.0
upshift,0.75,50,1.655,2.0,3.0,24.0,24.0
upshift,0.75,50,1.655,7.0,8.0,28.0,26.0
upshift,0.75,50,1.655,8.0,9.0,36.0,32.0
upshift,0.75,50,1.655,7.0,8.0,31.0,32.0
upshift,0.75,50,1.655,7.0,7.0,31.0,33.0
upshift,0.75,50,1.655,8.0,9.0,33.0,32.0
upshift,0.75,50,1.655,7.0,8.0,24.0,23.0
upshift,0.75,50,1.655,6.0,7.0,31.0,30.0
upshift,0.75,50,1.655,6.0,7.0,28.0,28.0
upshift,0.75,50,1.655,7.0,8.0,28.0,29.0
upshift,0.75,50,1.655,6.0,8.0,32.0,31.0
upshift,0.75,50,1.655,8.0,9.0,34.0,33.0
upshift,0.75,50,1.655,8.0,9.0,29.0,30.0
upshift,0.75,50,1.655,8.0,8.0,28.0,28.0
upshift,0.75,50,1.655,8.0,11.0,26.0,20.0
upshift,0.75,50,1.655,4.0,5.0,20.0,19.0
upshift,0.75,50,1.655,6.0,7.0,29.0,27.0
upshift,0.75,50,1.655,5.0,6.0,22.0,21.0
upshift,0.75,50,1.655,8.0,8.0,33.0,32.0
upshift,0.75,50,1.655,6.0,7.0,29.0,28.0
upshift,0.75,50,1.655,6.0,7.0,29.0,28.0
upshift,0.75,50,1.655,4.0,5.0,23.0,24.0
upshift,0.75,50,1.655,4.0,7.0,29.0,28.0
upshift,0.75,50,1.655,6.0,6.0,31.0,31.0
upshift,0.75,50,1.655,8.0,9.0,29.0,28.0
upshift,0.75,50,1.655,5.0,6.0,28.0,28.0
upshift,0.75,50,1.655,7.0,9.0,26.0,25.0
upshift,0.75,50,1.655,4.0,6.0,27.0,25.0
upshift,0.75,50,1.655,7.0,9.0,30.0,27.0
upshift,0.75,50,1.655,13.0,14.0,33.0,33.0
