Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.5,80,1.13,10.0,10.0,37.0,43.0
downshift,0.5,80,1.13,6.0,6.0,27.0,34.0
downshift,0.5,80,1.13,8.0,8.0,15.0,33.0
downshift,0.5,80,1.13,10.0,10.0,44.0,38.0
downshift,0.5,80,1.13,10.0,9.0,38.0,43.0
downshift,0.5,80,1.13,8.0,7.0,33.0,33.0
downshift,0.5,80,1.13,9.0,9.0,34.0,39.0
downshift,0.5,80,1.13,11.0,11.0,46.0,50.0
downshift,0.5,80,1.13,10.0,6.0,37.0,41.0
downshift,0.5,80,1.13,10.0,10.0,35.0,39.0
downshift,0.5,80,1.13,14.0,14.0,39.0,47.0
downshift,0.5,80,1.13,7.0,7.0,15.0,29.0
downshift,0.5,80,1.13,12.0,11.0,39.0,44.0
downshift,0.5,80,1.13,11.0,10.0,43.0,45.0
downshift,0.5,80,1.13,6.0,6.0,24.0,27.0
downshift,0.5,80,1.13,8.0,7.0,38.0,44.0
downshift,0.5,80,1.13,9.0,9.0,39.0,45.0
downshift,0.5,80,1.13,8.0,8.0,42.0,48.0
downshift,0.5,80,1.13,13.0,10.0,40.0,43.0
downshift,0.5,80,1.13,9.0,9.0,32.0,37.0
downshift,0.5,80,1.13,8.0,6.0,40.0,47.0
downshift,0.5,80,1.13,9.0,9.0,39.0,45.0
downshift,0.5,80,1.13,8.0,7.0,38.0,42.0
downshift,0.5,80,1.13,5.0,5.0,34.0,34.0
downshift,0.5,80,1.13,2.0,2.0,13.0,29.0
downshift,0.5,80,1.13,9.0,9.0,43.0,51.0
downshift,0.5,80,1.13,14.0,13.0,42.0,47.0
downshift,0.5,80,1.13,9.0,7.0,22.0,35.0
downshift,0.5,80,1.13,8.0,8.0,39.0,47.0
downshift,0.5,80,1.13,7.0,6.0,41.0,47.0
downshift,0.5,80,1.13,13.0,13.0,44.0,44.0
downshift,0.5,80,1.13,8.0,7.0,33.0,38.0
downshift,0.5,80,1.13,21.0,21.0,47.0,56.0
downshift,0.5,80,1.13,4.0,4.0,29.0,25.0
downshift,0.5,80,1.13,5.0,4.0,40.0,46.0
downshift,0.5,80,1.13,6.0,6.0,33.0,36.0
downshift,0.5,80,1.13,11.0,11.0,38.0,43.0
downshift,0.5,80,1.13,5.0,5.0,39.0,46.0
downshift,0.5,80,1.13,19.0,12.0,36.0,43.0
downshift,0.5,80,1.13,7.0,7.0,32.0,37.0
downshift,0.5,80,1.13,8.0,8.0,38.0,45.0
downshift,0.5,80,1.13,10.0,9.0,40.0,42.0
downshift,0.5,80,1.13,16.0,16.0,38.0,47.0
downshift,0.5,80,1.13,8.0,8.0,23.0,31.0
downshift,0.5,80,1.13,10.0,9.0,41.0,48.0
downshift,0.5,80,1.13,7.0,5.0,42.0,47.0
downshift,0.5,80,1.13,12.0,12.0,35.0,38.0
downshift,0.5,80,1.13,9.0,8.0,42.0,56.0
downshift,0.5,80,1.13,10.0,10.0,42.0,44.0
downshift,0.5,80,1.13,13.0,12.0,43.0,43.0
downshift,0.5,80,1.13,6.0,5.0,39.0,43.0
downshift,0.5,80,1.13,9.0,8.0,40.0,43.0
downshift,0.5,80,1.13,4.0,4.0,14.0,32.0
downshift,0.5,80,1.13,11.0,11.0,31.0,42.0
downshift,0.5,80,1.13,10.0,9.0,34.0,45.0
downshift,0.5,80,1.13,2.0,2.0,16.0,34.0
downshift,0.5,80,1.13,12.0,12.0,36.0,36.0
downshift,0.5,80,1.13,8.0,8.0,42.0,50.0
downshift,0.5,80,1.13,10.0,7.0,42.0,47.0
downshift,0.5,80,1.13,10.0,9.0,37.0,40.0
downshift,0.5,80,1.13,10.0,10.0,27.0,37.0
downshift,0.5,80,1.13,11.0,11.0,39.0,44.0
downshift,0.5,80,1.13,10.0,10.0,54.0,63.0
downshift,0.5,80,1.13,9.0,9.0,30.0,40.0
downshift,0.5,80,1.13,6.0,4.0,39.0,41.0
downshift,0.5,80,1.13,5.0,5.0,38.0,44.0
downshift,0.5,80,1.13,9.0,9.0,29.0,35.0
downshift,0.5,80,1.13,12.0,11.0,42.0,47.0
downshift,0.5,80,1.13,8.0,8.0,42.0,49.0
downshift,0.5,80,1.13,9.0,9.0,41.0,48.0
downshift,0.5,80,1.13,11.0,11.0,42.0,48.0
downshift,0.5,80,1.13,9.0,8.0,41.0,50.0
