Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,29.0,
downshift,0.9,50,0.08,1.0,,34.0,
downshift,0.9,50,0.08,1.0,,4.0,
downshift,0.9,50,0.08,1.0,,38.0,
downshift,0.9,50,0.08,1.0,,49.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,78.0,
downshift,0.9,50,0.08,12.0,,43.0,
downshift,0.9,50,0.08,10.0,,11.0,
downshift,0.9,50,0.08,6.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,10.0,,35.0,
downshift,0.9,50,0.08,1.0,,28.0,
downshift,0.9,50,0.08,2.0,,29.0,
downshift,0.9,50,0.08,1.0,,26.0,
downshift,0.9,50,0.08,34.0,,47.0,
downshift,0.9,50,0.08,16.0,,52.0,
downshift,0.9,50,0.08,16.0,,2.0,
downshift,0.9,50,0.08,3.0,,49.0,
downshift,0.9,50,0.08,6.0,,7.0,
downshift,0.9,50,0.08,4.0,,1.0,
downshift,0.9,50,0.08,1.0,,5.0,
downshift,0.9,50,0.08,18.0,,21.0,
downshift,0.9,50,0.08,3.0,,1.0,
downshift,0.9,50,0.08,1.0,,8.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,2.0,,14.0,
downshift,0.9,50,0.08,2.0,,1.0,
downshift,0.9,50,0.08,1.0,,18.0,
downshift,0.9,50,0.08,1.0,,46.0,
downshift,0.9,50,0.08,19.0,,21.0,
downshift,0.9,50,0.08,8.0,,11.0,
downshift,0.9,50,0.08,12.0,,13.0,
downshift,0.9,50,0.08,2.0,,1.0,
downshift,0.9,50,0.08,1.0,,14.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,11.0,,26.0,
downshift,0.9,50,0.08,11.0,,1.0,
downshift,0.9,50,0.08,5.0,,5.0,
downshift,0.9,50,0.08,1.0,,3.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,2.0,
downshift,0.9,50,0.08,15.0,,11.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,9.0,,4.0,
downshift,0.9,50,0.08,8.0,,16.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,18.0,,44.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,3.0,,16.0,
downshift,0.9,50,0.08,1.0,,49.0,
downshift,0.9,50,0.08,1.0,,3.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,1.0,,1.0,
downshift,0.9,50,0.08,5.0,,1.0,
downshift,0.9,50,0.08,4.0,,34.0,
downshift,0.9,50,0.08,5.0,,1.0,
downshift,0.9,50,0.08,8.0,,53.0,
downshift,0.9,50,0.08,4.0,,22.0,
downshift,0.9,50,0.08,1.0,,27.0,
downshift,0.9,50,0.08,1.0,,1.0,
