Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.5,50,0.605,8.0,8.0,18.0,18.0
downshift,0.5,50,0.605,13.0,12.0,29.0,29.0
downshift,0.5,50,0.605,27.0,22.0,36.0,37.0
downshift,0.5,50,0.605,5.0,5.0,19.0,21.0
downshift,0.5,50,0.605,8.0,9.0,45.0,47.0
downshift,0.5,50,0.605,4.0,4.0,16.0,16.0
downshift,0.5,50,0.605,12.0,13.0,34.0,34.0
downshift,0.5,50,0.605,7.0,7.0,17.0,17.0
downshift,0.5,50,0.605,19.0,19.0,37.0,36.0
downshift,0.5,50,0.605,18.0,12.0,37.0,34.0
downshift,0.5,50,0.605,4.0,7.0,16.0,16.0
downshift,0.5,50,0.605,1.0,1.0,1.0,1.0
downshift,0.5,50,0.605,6.0,6.0,29.0,23.0
downshift,0.5,50,0.605,10.0,10.0,14.0,15.0
downshift,0.5,50,0.605,3.0,3.0,18.0,18.0
downshift,0.5,50,0.605,7.0,7.0,31.0,31.0
downshift,0.5,50,0.605,8.0,8.0,11.0,11.0
downshift,0.5,50,0.605,12.0,10.0,23.0,29.0
downshift,0.5,50,0.605,1.0,1.0,18.0,18.0
downshift,0.5,50,0.605,7.0,8.0,19.0,20.0
downshift,0.5,50,0.605,14.0,14.0,39.0,37.0
downshift,0.5,50,0.605,13.0,12.0,26.0,26.0
downshift,0.5,50,0.605,15.0,15.0,31.0,31.0
downshift,0.5,50,0.605,9.0,6.0,28.0,28.0
downshift,0.5,50,0.605,8.0,8.0,42.0,42.0
downshift,0.5,50,0.605,12.0,12.0,21.0,21.0
downshift,0.5,50,0.605,12.0,11.0,26.0,26.0
downshift,0.5,50,0.605,8.0,8.0,13.0,13.0
downshift,0.5,50,0.605,2.0,2.0,19.0,16.0
downshift,0.5,50,0.605,7.0,7.0,11.0,12.0
downshift,0.5,50,0.605,1.0,1.0,7.0,10.0
downshift,0.5,50,0.605,10.0,13.0,22.0,22.0
downshift,0.5,50,0.605,11.0,11.0,25.0,25.0
downshift,0.5,50,0.605,14.0,14.0,41.0,41.0
downshift,0.5,50,0.605,9.0,9.0,40.0,40.0
downshift,0.5,50,0.605,5.0,5.0,18.0,18.0
downshift,0.5,50,0.605,11.0,11.0,18.0,18.0
downshift,0.5,50,0.605,20.0,20.0,41.0,41.0
downshift,0.5,50,0.605,11.0,10.0,35.0,35.0
downshift,0.5,50,0.605,5.0,4.0,21.0,21.0
downshift,0.5,50,0.605,1.0,2.0,7.0,5.0
downshift,0.5,50,0.605,25.0,27.0,28.0,29.0
downshift,0.5,50,0.605,3.0,3.0,8.0,8.0
downshift,0.5,50,0.605,1.0,1.0,15.0,15.0
downshift,0.5,50,0.605,17.0,17.0,33.0,33.0
downshift,0.5,50,0.605,13.0,13.0,37.0,37.0
downshift,0.5,50,0.605,25.0,25.0,40.0,39.0
downshift,0.5,50,0.605,11.0,11.0,36.0,36.0
downshift,0.5,50,0.605,10.0,10.0,19.0,29.0
downshift,0.5,50,0.605,19.0,20.0,38.0,38.0
downshift,0.5,50,0.605,14.0,13.0,36.0,36.0
downshift,0.5,50,0.605,4.0,4.0,14.0,15.0
downshift,0.5,50,0.605,12.0,12.0,19.0,19.0
downshift,0.5,50,0.605,6.0,4.0,27.0,27.0
downshift,0.5,50,0.605,16.0,16.0,20.0,20.0
downshift,0.5,50,0.605,12.0,8.0,19.0,22.0
downshift,0.5,50,0.605,1.0,1.0,37.0,42.0
downshift,0.5,50,0.605,14.0,19.0,28.0,28.0
downshift,0.5,50,0.605,13.0,12.0,17.0,17.0
downshift,0.5,50,0.605,5.0,5.0,23.0,23.0
downshift,0.5,50,0.605,18.0,18.0,36.0,33.0
downshift,0.5,50,0.605,1.0,2.0,16.0,15.0
downshift,0.5,50,0.605,4.0,26.0,30.0,30.0
downshift,0.5,50,0.605,11.0,11.0,40.0,39.0
downshift,0.5,50,0.605,16.0,14.0,24.0,24.0
downshift,0.5,50,0.605,1.0,1.0,11.0,11.0
downshift,0.5,50,0.605,5.0,5.0,9.0,9.0
downshift,0.5,50,0.605,11.0,11.0,21.0,22.0
downshift,0.5,50,0.605,8.0,8.0,28.0,28.0
downshift,0.5,50,0.605,4.0,4.0,21.0,15.0
downshift,0.5,50,0.605,8.0,7.0,26.0,26.0
downshift,0.5,50,0.605,3.0,3.0,10.0,11.0
downshift,0.5,50,0.605,17.0,16.0,28.0,28.0
downshift,0.5,50,0.605,8.0,8.0,25.0,26.0
downshift,0.5,50,0.605,22.0,22.0,27.0,27.0
downshift,0.5,50,0.605,6.0,6.0,14.0,16.0
downshift,0.5,50,0.605,1.0,1.0,7.0,7.0
downshift,0.5,50,0.605,6.0,6.0,21.0,22.0
downshift,0.5,50,0.605,18.0,18.0,32.0,33.0
downshift,0.5,50,0.605,28.0,28.0,33.0,33.0
downshift,0.5,50,0.605,10.0,9.0,29.0,28.0
downshift,0.5,50,0.605,15.0,14.0,24.0,24.0
downshift,0.5,50,0.605,12.0,12.0,38.0,38.0
downshift,0.5,50,0.605,2.0,1.0,13.0,12.0
downshift,0.5,50,0.605,10.0,10.0,13.0,16.0
downshift,0.5,50,0.605,5.0,5.0,17.0,18.0
downshift,0.5,50,0.605,1.0,1.0,4.0,4.0
downshift,0.5,50,0.605,16.0,16.0,33.0,30.0
downshift,0.5,50,0.605,13.0,13.0,30.0,31.0
downshift,0.5,50,0.605,24.0,24.0,30.0,30.0
downshift,0.5,50,0.605,1.0,1.0,15.0,15.0
downshift,0.5,50,0.605,19.0,16.0,25.0,25.0
downshift,0.5,50,0.605,5.0,5.0,20.0,21.0
downshift,0.5,50,0.605,14.0,14.0,39.0,38.0
downshift,0.5,50,0.605,23.0,23.0,29.0,27.0
