Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.5,80,1.43,10.0,11.0,22.0,14.0
downshift,0.5,80,1.43,4.0,5.0,29.0,14.0
downshift,0.5,80,1.43,13.0,13.0,46.0,32.0
downshift,0.5,80,1.43,10.0,11.0,25.0,12.0
downshift,0.5,80,1.43,8.0,9.0,17.0,9.0
downshift,0.5,80,1.43,10.0,11.0,29.0,16.0
downshift,0.5,80,1.43,9.0,10.0,17.0,11.0
downshift,0.5,80,1.43,6.0,7.0,30.0,14.0
downshift,0.5,80,1.43,7.0,11.0,19.0,12.0
downshift,0.5,80,1.43,8.0,9.0,25.0,11.0
downshift,0.5,80,1.43,16.0,14.0,26.0,20.0
downshift,0.5,80,1.43,11.0,11.0,21.0,12.0
downshift,0.5,80,1.43,17.0,18.0,30.0,23.0
downshift,0.5,80,1.43,10.0,12.0,29.0,19.0
downshift,0.5,80,1.43,13.0,13.0,34.0,23.0
downshift,0.5,80,1.43,6.0,8.0,18.0,8.0
downshift,0.5,80,1.43,10.0,11.0,25.0,18.0
downshift,0.5,80,1.43,9.0,10.0,30.0,18.0
downshift,0.5,80,1.43,8.0,9.0,25.0,12.0
downshift,0.5,80,1.43,10.0,11.0,17.0,13.0
downshift,0.5,80,1.43,7.0,7.0,25.0,14.0
downshift,0.5,80,1.43,12.0,12.0,36.0,18.0
downshift,0.5,80,1.43,9.0,10.0,34.0,24.0
downshift,0.5,80,1.43,13.0,13.0,41.0,29.0
downshift,0.5,80,1.43,7.0,9.0,20.0,9.0
downshift,0.5,80,1.43,9.0,9.0,33.0,18.0
downshift,0.5,80,1.43,6.0,8.0,24.0,13.0
downshift,0.5,80,1.43,11.0,12.0,13.0,11.0
downshift,0.5,80,1.43,11.0,11.0,39.0,24.0
downshift,0.5,80,1.43,8.0,9.0,17.0,9.0
downshift,0.5,80,1.43,12.0,13.0,29.0,13.0
downshift,0.5,80,1.43,8.0,10.0,20.0,17.0
downshift,0.5,80,1.43,10.0,11.0,27.0,20.0
downshift,0.5,80,1.43,10.0,11.0,26.0,15.0
downshift,0.5,80,1.43,13.0,12.0,21.0,16.0
downshift,0.5,80,1.43,11.0,11.0,20.0,15.0
downshift,0.5,80,1.43,8.0,9.0,24.0,14.0
downshift,0.5,80,1.43,8.0,9.0,17.0,13.0
downshift,0.5,80,1.43,9.0,9.0,21.0,15.0
downshift,0.5,80,1.43,8.0,10.0,18.0,11.0
downshift,0.5,80,1.43,9.0,11.0,19.0,12.0
downshift,0.5,80,1.43,12.0,13.0,23.0,16.0
downshift,0.5,80,1.43,11.0,13.0,20.0,16.0
downshift,0.5,80,1.43,13.0,13.0,25.0,18.0
