Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
stratification,0.9,30,1.73,3.0,15.0,22.0,14.0
stratification,0.9,30,1.73,4.0,8.0,4.0,53.0
stratification,0.9,30,1.73,8.0,14.0,51.0,54.0
stratification,0.9,30,1.73,9.0,17.0,61.0,60.0
stratification,0.9,30,1.73,6.0,14.0,65.0,66.0
stratification,0.9,30,1.73,4.0,8.0,22.0,21.0
stratification,0.9,30,1.73,3.0,7.0,51.0,60.0
stratification,0.9,30,1.73,10.0,19.0,51.0,52.0
stratification,0.9,30,1.73,3.0,27.0,10.0,50.0
stratification,0.9,30,1.73,9.0,15.0,61.0,60.0
stratification,0.9,30,1.73,5.0,14.0,52.0,51.0
stratification,0.9,30,1.73,3.0,15.0,23.0,60.0
stratification,0.9,30,1.73,6.0,15.0,22.0,52.0
stratification,0.9,30,1.73,8.0,14.0,10.0,53.0
stratification,0.9,30,1.73,3.0,19.0,60.0,60.0
stratification,0.9,30,1.73,5.0,14.0,22.0,53.0
stratification,0.9,30,1.73,10.0,15.0,51.0,53.0
stratification,0.9,30,1.73,3.0,8.0,10.0,15.0
stratification,0.9,30,1.73,3.0,8.0,60.0,21.0
stratification,0.9,30,1.73,3.0,29.0,4.0,3.0
stratification,0.9,30,1.73,14.0,17.0,21.0,3.0
stratification,0.9,30,1.73,13.0,17.0,22.0,53.0
stratification,0.9,30,1.73,6.0,14.0,50.0,50.0
stratification,0.9,30,1.73,4.0,8.0,52.0,3.0
stratification,0.9,30,1.73,3.0,19.0,15.0,14.0
stratification,0.9,30,1.73,4.0,14.0,22.0,53.0
stratification,0.9,30,1.73,4.0,8.0,10.0,61.0
stratification,0.9,30,1.73,9.0,14.0,52.0,54.0
stratification,0.9,30,1.73,3.0,8.0,3.0,4.0
stratification,0.9,30,1.73,10.0,14.0,51.0,54.0
stratification,0.9,30,1.73,3.0,18.0,52.0,53.0
stratification,0.9,30,1.73,6.0,14.0,21.0,52.0
stratification,0.9,30,1.73,6.0,17.0,22.0,54.0
stratification,0.9,30,1.73,3.0,8.0,4.0,51.0
stratification,0.9,30,1.73,3.0,14.0,60.0,54.0
stratification,0.9,30,1.73,3.0,14.0,4.0,52.0
stratification,0.9,30,1.73,5.0,10.0,56.0,49.0
stratification,0.9,30,1.73,10.0,15.0,22.0,14.0
stratification,0.9,30,1.73,1.0,7.0,9.0,53.0
stratification,0.9,30,1.73,14.0,19.0,53.0,53.0
stratification,0.9,30,1.73,4.0,15.0,15.0,3.0
stratification,0.9,30,1.73,3.0,10.0,10.0,3.0
stratification,0.9,30,1.73,6.0,15.0,21.0,53.0
stratification,0.9,30,1.73,3.0,8.0,56.0,53.0
stratification,0.9,30,1.73,3.0,8.0,22.0,59.0
stratification,0.9,30,1.73,10.0,15.0,10.0,10.0
stratification,0.9,30,1.73,8.0,14.0,15.0,10.0
stratification,0.9,30,1.73,1.0,20.0,15.0,15.0
stratification,0.9,30,1.73,3.0,8.0,10.0,14.0
stratification,0.9,30,1.73,8.0,14.0,16.0,60.0
stratification,0.9,30,1.73,6.0,8.0,15.0,14.0
stratification,0.9,30,1.73,4.0,16.0,22.0,56.0
stratification,0.9,30,1.73,3.0,28.0,22.0,21.0
stratification,0.9,30,1.73,4.0,8.0,23.0,51.0
stratification,0.9,30,1.73,4.0,14.0,15.0,60.0
stratification,0.9,30,1.73,4.0,10.0,10.0,56.0
stratification,0.9,30,1.73,5.0,15.0,60.0,56.0
stratification,0.9,30,1.73,6.0,11.0,46.0,50.0
stratification,0.9,30,1.73,3.0,14.0,56.0,54.0
stratification,0.9,30,1.73,5.0,15.0,51.0,53.0
stratification,0.9,30,1.73,3.0,14.0,15.0,14.0
stratification,0.9,30,1.73,11.0,19.0,52.0,3.0
stratification,0.9,30,1.73,5.0,14.0,22.0,60.0
stratification,0.9,30,1.73,4.0,13.0,21.0,52.0
stratification,0.9,30,1.73,3.0,17.0,4.0,60.0
stratification,0.9,30,1.73,5.0,23.0,61.0,61.0
stratification,0.9,30,1.73,8.0,14.0,3.0,3.0
stratification,0.9,30,1.73,8.0,10.0,21.0,8.0
stratification,0.9,30,1.73,3.0,8.0,22.0,51.0
stratification,0.9,30,1.73,3.0,8.0,4.0,3.0
stratification,0.9,30,1.73,3.0,17.0,21.0,14.0
stratification,0.9,30,1.73,10.0,18.0,51.0,49.0
stratification,0.9,30,1.73,10.0,20.0,60.0,57.0
stratification,0.9,30,1.73,6.0,14.0,22.0,60.0
stratification,0.9,30,1.73,5.0,10.0,52.0,60.0
stratification,0.9,30,1.73,12.0,17.0,14.0,56.0
stratification,0.9,30,1.73,8.0,14.0,72.0,54.0
stratification,0.9,30,1.73,4.0,14.0,51.0,51.0
stratification,0.9,30,1.73,3.0,8.0,4.0,53.0
stratification,0.9,30,1.73,6.0,8.0,50.0,52.0
stratification,0.9,30,1.73,3.0,10.0,1.0,1.0
stratification,0.9,30,1.73,4.0,15.0,21.0,57.0
stratification,0.9,30,1.73,11.0,14.0,21.0,14.0
stratification,0.9,30,1.73,10.0,17.0,51.0,53.0
stratification,0.9,30,1.73,4.0,14.0,15.0,52.0
