Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,stratification,0.95,80,0.455,45.512195,0.18,0.044022,0.10135,0.303312,0.938947,0.08,0.896,0.274073
mixed_CS=T,stratification,0.95,30,0.53,6.693333,0.0,0.048485,0.519669,0.166339,0.554737,0.44,0.549,0.494049
Unlu_CS=T,stratification,0.95,30,0.53,27.892617,0.006667,0.027548,0.159559,0.395135,0.863158,0.06,0.823,0.227573
mixed_CS=T,stratification,0.95,50,0.53,13.463333,0.0,0.03157,0.356612,0.120082,0.829474,0.44,0.81,0.604126
Unlu_CS=T,stratification,0.95,50,0.53,45.917603,0.11,0.026419,0.093223,0.256375,0.961053,0.1,0.918,0.310008
mixed_CS=T,stratification,0.95,80,0.53,5.723333,0.0,0.029917,0.427879,0.172585,0.682105,0.44,0.67,0.547838
Unlu_CS=T,stratification,0.95,80,0.53,50.578512,0.193333,0.012314,0.06157,0.210283,0.988421,0.08,0.943,0.2812
mixed_CS=T,stratification,0.95,30,0.605,16.59,0.0,0.037107,0.342011,0.131969,0.9,0.32,0.871,0.536656
Unlu_CS=T,stratification,0.95,30,0.605,26.756757,0.013333,0.034325,0.174435,0.263183,0.964211,0.1,0.921,0.310517
mixed_CS=T,stratification,0.95,50,0.605,8.84,0.0,0.02303,0.25405,0.113329,0.824211,0.42,0.804,0.588361
Unlu_CS=T,stratification,0.95,50,0.605,37.853933,0.11,0.115234,0.215069,0.23593,0.963158,0.08,0.919,0.277584
mixed_CS=T,stratification,0.95,80,0.605,8.506667,0.0,0.156088,0.717741,0.144114,0.677895,0.62,0.675,0.648301
Unlu_CS=T,stratification,0.95,80,0.605,56.765799,0.103333,0.016777,0.066529,0.210024,0.985263,0.06,0.939,0.243137
mixed_CS=T,stratification,0.95,30,0.68,11.28,0.0,0.03438,0.279256,0.115945,0.889474,0.38,0.864,0.581378
Unlu_CS=T,stratification,0.95,30,0.68,29.114865,0.013333,0.075868,0.326997,0.305067,0.926316,0.2,0.89,0.430422
mixed_CS=T,stratification,0.95,50,0.68,20.046667,0.0,0.086226,0.440331,0.111349,0.890526,0.42,0.867,0.611573
Unlu_CS=T,stratification,0.95,50,0.68,37.571429,0.02,0.038017,0.24292,0.218405,0.962105,0.28,0.928,0.519027
mixed_CS=T,stratification,0.95,80,0.68,13.55,0.0,0.050799,0.530303,0.096978,0.837895,0.58,0.825,0.697122
Unlu_CS=T,stratification,0.95,80,0.68,65.152174,0.233333,0.130386,0.207355,0.222841,0.976842,0.12,0.934,0.342376
mixed_CS=T,stratification,0.95,30,0.755,18.123333,0.0,0.082149,0.337741,0.120245,0.852632,0.38,0.829,0.56921
Unlu_CS=T,stratification,0.95,30,0.755,44.464789,0.053333,0.053168,0.194408,0.247015,0.947368,0.26,0.913,0.496302
mixed_CS=T,stratification,0.95,50,0.755,25.698997,0.003333,0.057328,0.323196,0.078806,0.964211,0.26,0.929,0.500694
Unlu_CS=T,stratification,0.95,50,0.755,56.683453,0.073333,0.064298,0.185152,0.187977,0.993684,0.08,0.948,0.281948
mixed_CS=T,stratification,0.95,80,0.755,5.56,0.0,0.203085,0.807438,0.10604,0.838947,0.64,0.829,0.732753
Unlu_CS=T,stratification,0.95,80,0.755,53.434629,0.056667,0.04281,0.133581,0.221537,0.993684,0.0,0.944,0.0
mixed_CS=T,stratification,0.95,30,0.83,8.12,0.0,0.083829,0.617493,0.126349,0.803158,0.52,0.789,0.646252
Unlu_CS=T,stratification,0.95,30,0.83,43.513889,0.04,0.069036,0.210413,0.190114,0.984211,0.14,0.942,0.3712
mixed_CS=T,stratification,0.95,50,0.83,11.076667,0.0,0.137961,0.649642,0.081052,0.903158,0.44,0.88,0.630388
Unlu_CS=T,stratification,0.95,50,0.83,41.979798,0.01,0.091708,0.231928,0.231484,0.987368,0.04,0.94,0.198733
mixed_CS=T,stratification,0.95,80,0.83,10.68,0.0,0.329008,0.807824,0.09476,0.858947,0.84,0.858,0.849421
Unlu_CS=T,stratification,0.95,80,0.83,59.460208,0.036667,0.066804,0.146584,0.177886,0.982105,0.12,0.939,0.343297
mixed_CS=T,stratification,0.95,30,0.905,32.75,0.0,0.030441,0.225262,0.062499,0.978947,0.12,0.936,0.342744
Unlu_CS=T,stratification,0.95,30,0.905,38.716667,0.0,0.036832,0.263278,0.187852,0.988421,0.16,0.947,0.397677
mixed_CS=T,stratification,0.95,50,0.905,24.962838,0.013333,0.048981,0.212645,0.045813,0.981053,0.46,0.955,0.671777
Unlu_CS=T,stratification,0.95,50,0.905,78.5,0.3,0.053636,0.09,0.179587,0.993684,0.22,0.955,0.467558
mixed_CS=T,stratification,0.95,80,0.905,11.82,0.0,0.34876,0.814105,0.077972,0.923158,0.68,0.911,0.792305
Unlu_CS=T,stratification,0.95,80,0.905,55.606061,0.01,0.194463,0.414931,0.142977,0.997895,0.34,0.965,0.582481
mixed_CS=T,stratification,0.95,30,0.98,8.006667,0.0,0.125758,0.612259,0.080976,0.937895,0.38,0.91,0.596992
Unlu_CS=T,stratification,0.95,30,0.98,31.493333,0.0,0.058623,0.194959,0.219596,0.986316,0.04,0.939,0.198627
mixed_CS=T,stratification,0.95,50,0.98,13.17,0.0,0.035702,0.439311,0.067977,0.968421,0.4,0.94,0.622389
Unlu_CS=T,stratification,0.95,50,0.98,41.474576,0.016667,0.209862,0.48584,0.119541,0.997895,0.44,0.97,0.662626
mixed_CS=T,stratification,0.95,80,0.98,8.21,0.0,0.164656,0.810909,0.080791,0.894737,0.96,0.898,0.926794
Unlu_CS=T,stratification,0.95,80,0.98,52.230496,0.06,0.161736,0.303361,0.117233,0.998947,0.4,0.969,0.632123
mixed_CS=T,stratification,0.95,30,1.055,16.676667,0.0,0.071295,0.425427,0.062838,0.990526,0.34,0.958,0.580327
Unlu_CS=T,stratification,0.95,30,1.055,21.533333,0.0,0.132149,0.557576,0.161689,0.989474,0.22,0.951,0.466566
mixed_CS=T,stratification,0.95,50,1.055,17.973333,0.0,0.192782,0.576419,0.046011,0.978947,0.5,0.955,0.699624
Unlu_CS=T,stratification,0.95,50,1.055,43.71223,0.073333,0.145152,0.301598,0.234853,0.998947,0.08,0.953,0.282694
mixed_CS=T,stratification,0.95,80,1.055,10.393333,0.0,0.019118,0.606667,0.067252,0.917895,0.68,0.906,0.790043
Unlu_CS=T,stratification,0.95,80,1.055,65.224066,0.196667,0.113912,0.217576,0.146169,0.998947,0.34,0.966,0.582788
mixed_CS=T,stratification,0.95,30,1.13,14.426667,0.0,0.02449,0.301185,0.048211,0.989474,0.24,0.952,0.487313
Unlu_CS=T,stratification,0.95,30,1.13,31.956667,0.0,0.089669,0.339201,0.180882,0.989474,0.28,0.954,0.526358
mixed_CS=T,stratification,0.95,50,1.13,11.193333,0.0,0.073802,0.573747,0.050899,0.989474,0.4,0.96,0.629118
Unlu_CS=T,stratification,0.95,50,1.13,34.596667,0.0,0.105262,0.373168,0.187014,0.995789,0.08,0.95,0.282247
mixed_CS=T,stratification,0.95,80,1.13,5.333333,0.0,0.062176,0.860826,0.08199,0.923158,0.82,0.918,0.870051
Unlu_CS=T,stratification,0.95,80,1.13,47.636364,0.01,0.345455,0.559091,0.140114,1.0,0.5,0.975,0.707107
mixed_CS=T,stratification,0.95,30,1.205,15.546667,0.0,0.187851,0.740634,0.05536,0.976842,0.54,0.955,0.726288
Unlu_CS=T,stratification,0.95,30,1.205,23.873333,0.0,0.092066,0.420909,0.150096,0.992632,0.42,0.964,0.645682
mixed_CS=T,stratification,0.95,50,1.205,12.273333,0.0,0.383388,0.840854,0.051693,0.977895,0.66,0.962,0.803374
Unlu_CS=T,stratification,0.95,50,1.205,27.8,0.0,0.149449,0.621212,0.133675,0.988421,0.28,0.953,0.526078
mixed_CS=T,stratification,0.95,80,1.205,10.693333,0.0,0.144931,0.853003,0.083615,0.954737,0.76,0.945,0.851822
Unlu_CS=T,stratification,0.95,80,1.205,50.646667,0.0,0.185344,0.513747,0.160616,1.0,0.36,0.968,0.6
mixed_CS=T,stratification,0.95,30,1.28,12.51,0.0,0.085124,0.682287,0.077536,0.922105,0.56,0.904,0.718595
Unlu_CS=T,stratification,0.95,30,1.28,29.696667,0.0,0.064766,0.334435,0.204149,0.988421,0.24,0.951,0.487053
mixed_CS=T,stratification,0.95,50,1.28,7.543333,0.0,0.194683,0.764711,0.05972,0.962105,0.62,0.945,0.772338
Unlu_CS=T,stratification,0.95,50,1.28,26.823333,0.0,0.064242,0.435069,0.193079,0.998947,0.16,0.957,0.399789
mixed_CS=T,stratification,0.95,80,1.28,21.67,0.0,0.347796,0.791846,0.02461,0.975789,0.88,0.971,0.926658
Unlu_CS=T,stratification,0.95,80,1.28,43.27,0.0,0.41292,0.641047,0.121047,1.0,0.56,0.978,0.748331
mixed_CS=T,stratification,0.95,30,1.355,20.476667,0.0,0.042066,0.38405,0.04491,0.993684,0.76,0.982,0.869022
Unlu_CS=T,stratification,0.95,30,1.355,37.277592,0.003333,0.101377,0.325455,0.131902,1.0,0.36,0.968,0.6
mixed_CS=T,stratification,0.95,50,1.355,5.033333,0.0,0.17697,0.826612,0.038118,0.962105,0.82,0.955,0.888215
Unlu_CS=T,stratification,0.95,50,1.355,32.446667,0.0,0.191129,0.601129,0.142655,1.0,0.32,0.966,0.565685
mixed_CS=T,stratification,0.95,80,1.355,12.953333,0.0,0.174435,0.828981,0.038628,0.975789,0.74,0.964,0.849755
Unlu_CS=T,stratification,0.95,80,1.355,46.07,0.0,0.457851,0.614132,0.096373,1.0,0.66,0.983,0.812404
mixed_CS=T,stratification,0.95,30,1.43,8.16,0.0,0.163829,0.829697,0.084739,0.949474,0.86,0.945,0.90363
Unlu_CS=T,stratification,0.95,30,1.43,11.48,0.0,0.031736,0.593471,0.093477,0.995789,0.5,0.971,0.705617
mixed_CS=T,stratification,0.95,50,1.43,8.93,0.0,0.299587,0.886419,0.040792,0.936842,0.82,0.931,0.876476
Unlu_CS=T,stratification,0.95,50,1.43,40.923333,0.0,0.334821,0.635317,0.142783,1.0,0.34,0.967,0.583095
