Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,uptrend,0.95,80,0.53,53.09,0.0,0.561763,0.569394,0.400729,1.0,0.42,0.971,0.648074
mixed_CS=T,uptrend,0.95,30,0.605,5.19,0.0,0.962149,0.965344,0.001029,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,0.605,11.903333,0.0,0.90989,0.90989,0.191895,1.0,0.72,0.986,0.848528
mixed_CS=T,uptrend,0.95,50,0.605,7.78,0.0,0.943967,0.943967,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.605,42.096667,0.0,0.660358,0.660358,0.673221,1.0,0.2,0.96,0.447214
mixed_CS=T,uptrend,0.95,80,0.605,9.67,0.0,0.928347,0.928347,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.605,30.593333,0.0,0.755427,0.755427,0.174175,1.0,0.8,0.99,0.894427
mixed_CS=T,uptrend,0.95,30,0.68,4.99,0.0,0.960468,0.966942,0.003093,0.997895,1.0,0.998,0.998947
Unlu_CS=T,uptrend,0.95,30,0.68,15.943333,0.0,0.873554,0.876474,0.306105,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,50,0.68,7.64,0.0,0.945124,0.945124,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.68,31.846667,0.0,0.742562,0.745041,0.40146,1.0,0.42,0.971,0.648074
mixed_CS=T,uptrend,0.95,80,0.68,7.62,0.0,0.942149,0.945262,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.68,62.266667,0.0,0.493664,0.493664,0.442118,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,30,0.755,5.123333,0.0,0.956198,0.965785,0.00104,0.998947,1.0,0.999,0.999474
Unlu_CS=T,uptrend,0.95,30,0.755,15.146667,0.0,0.883085,0.883085,0.327021,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,50,0.755,7.673333,0.0,0.944848,0.944848,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.755,37.49,0.0,0.679614,0.698154,0.374071,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,80,0.755,7.983333,0.0,0.942287,0.942287,0.0,1.0,1.0,1.0,1.0
