Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,cyclic,0.950000,30,0.530000,17.223333,0.000000,0.018347,0.205675,0.361142,0.909474,0.180000,0.873000,0.404605
mixed_CS=T,cyclic,0.950000,50,0.530000,10.570000,0.000000,0.083251,0.588567,0.135455,0.790526,0.600000,0.781000,0.688706
Unlu_CS=T,cyclic,0.950000,50,0.530000,17.550000,0.000000,0.013526,0.269394,0.342446,0.900000,0.220000,0.866000,0.444972
mixed_CS=T,cyclic,0.950000,80,0.530000,10.036667,0.000000,0.016639,0.378127,0.100247,0.838947,0.820000,0.838000,0.829420
Unlu_CS=T,cyclic,0.950000,80,0.530000,46.798658,0.006667,0.014408,0.209697,0.181178,0.975789,0.380000,0.946000,0.608934
mixed_CS=T,cyclic,0.950000,30,0.605000,11.993333,0.000000,0.083196,0.544848,0.140103,0.806316,0.400000,0.786000,0.567914
Unlu_CS=T,cyclic,0.950000,30,0.605000,13.250000,0.000000,0.014986,0.267851,0.324188,0.907368,0.140000,0.869000,0.356415
mixed_CS=T,cyclic,0.950000,50,0.605000,18.770000,0.000000,0.169835,0.616006,0.105686,0.875789,0.700000,0.867000,0.782977
Unlu_CS=T,cyclic,0.950000,50,0.605000,21.650000,0.000000,0.016584,0.290220,0.281360,0.936842,0.280000,0.904000,0.512168
mixed_CS=T,cyclic,0.950000,80,0.605000,11.523333,0.000000,0.015702,0.306033,0.068381,0.897895,0.880000,0.897000,0.888902
Unlu_CS=T,cyclic,0.950000,80,0.605000,36.803333,0.000000,0.013223,0.230413,0.107101,0.989474,0.520000,0.966000,0.717305
mixed_CS=T,cyclic,0.950000,30,0.680000,11.026667,0.000000,0.078182,0.607631,0.128699,0.869474,0.620000,0.857000,0.734216
Unlu_CS=T,cyclic,0.950000,30,0.680000,19.820000,0.000000,0.020193,0.294325,0.240137,0.966316,0.220000,0.929000,0.461074
mixed_CS=T,cyclic,0.950000,50,0.680000,12.673333,0.000000,0.156116,0.734904,0.115886,0.843158,0.760000,0.839000,0.800500
Unlu_CS=T,cyclic,0.950000,50,0.680000,38.496667,0.000000,0.022755,0.311708,0.172707,0.987368,0.220000,0.949000,0.466070
mixed_CS=T,cyclic,0.950000,80,0.680000,13.686667,0.000000,0.017273,0.410413,0.077000,0.874737,0.960000,0.879000,0.916377
Unlu_CS=T,cyclic,0.950000,80,0.680000,47.390000,0.000000,0.015565,0.259642,0.135895,0.985263,0.440000,0.958000,0.658419
mixed_CS=T,cyclic,0.950000,30,0.755000,12.206667,0.000000,0.127218,0.704077,0.114832,0.862105,0.540000,0.846000,0.682303
Unlu_CS=T,cyclic,0.950000,30,0.755000,17.410000,0.000000,0.016887,0.323223,0.235466,0.947368,0.260000,0.913000,0.496302
mixed_CS=T,cyclic,0.950000,50,0.755000,12.883333,0.000000,0.368264,0.812865,0.117235,0.843158,0.780000,0.840000,0.810964
Unlu_CS=T,cyclic,0.950000,50,0.755000,25.653333,0.000000,0.016915,0.331763,0.209849,0.984211,0.300000,0.950000,0.543381
mixed_CS=T,cyclic,0.950000,80,0.755000,13.083333,0.000000,0.016198,0.361295,0.060959,0.912632,0.900000,0.912000,0.906294
Unlu_CS=T,cyclic,0.950000,80,0.755000,51.254181,0.003333,0.022727,0.328953,0.148187,0.995789,0.340000,0.963000,0.581866
mixed_CS=T,cyclic,0.950000,30,0.830000,9.613333,0.000000,0.149835,0.709366,0.131206,0.832632,0.580000,0.820000,0.694929
Unlu_CS=T,cyclic,0.950000,30,0.830000,18.113333,0.000000,0.020992,0.372617,0.260372,0.953684,0.260000,0.919000,0.497954
mixed_CS=T,cyclic,0.950000,50,0.830000,11.663333,0.000000,0.088402,0.737190,0.080576,0.909474,0.720000,0.900000,0.809210
Unlu_CS=T,cyclic,0.950000,50,0.830000,31.190000,0.000000,0.055179,0.515152,0.142992,0.988421,0.340000,0.956000,0.579710
mixed_CS=T,cyclic,0.950000,80,0.830000,14.850000,0.000000,0.015813,0.385730,0.043820,0.942105,0.880000,0.939000,0.910523
Unlu_CS=T,cyclic,0.950000,80,0.830000,42.969388,0.020000,0.062975,0.512810,0.110974,0.989474,0.540000,0.967000,0.730969
mixed_CS=T,cyclic,0.950000,30,0.905000,11.023333,0.000000,0.235675,0.761350,0.108297,0.906316,0.600000,0.891000,0.737421
Unlu_CS=T,cyclic,0.950000,30,0.905000,16.143333,0.000000,0.017989,0.352562,0.234386,0.964211,0.220000,0.927000,0.460572
mixed_CS=T,cyclic,0.950000,50,0.905000,11.520000,0.000000,0.328017,0.861129,0.095039,0.886316,0.740000,0.879000,0.809860
Unlu_CS=T,cyclic,0.950000,50,0.905000,25.376667,0.000000,0.222920,0.674683,0.130681,0.983158,0.520000,0.960000,0.715012
mixed_CS=T,cyclic,0.950000,80,0.905000,13.156667,0.000000,0.012617,0.333554,0.030663,0.971579,0.860000,0.966000,0.914089
Unlu_CS=T,cyclic,0.950000,80,0.905000,39.383838,0.010000,0.016171,0.351680,0.090536,0.997895,0.460000,0.971000,0.677519
mixed_CS=T,cyclic,0.950000,30,0.980000,8.963333,0.000000,0.248898,0.829008,0.098154,0.897895,0.580000,0.882000,0.721650
Unlu_CS=T,cyclic,0.950000,30,0.980000,19.180000,0.000000,0.053774,0.517300,0.182232,0.985263,0.300000,0.951000,0.543672
mixed_CS=T,cyclic,0.950000,50,0.980000,11.536667,0.000000,0.235537,0.842837,0.074846,0.924211,0.760000,0.916000,0.838093
Unlu_CS=T,cyclic,0.950000,50,0.980000,34.426667,0.000000,0.044435,0.502369,0.156324,0.991579,0.380000,0.961000,0.613840
mixed_CS=T,cyclic,0.950000,80,0.980000,12.520000,0.000000,0.014628,0.334160,0.035449,0.943158,0.920000,0.942000,0.931507
