Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,downtrend,0.95,80,0.455,61.696667,0.0,0.453829,0.496887,0.390579,1.0,0.36,0.968,0.6
mixed_CS=T,downtrend,0.95,30,0.53,4.816667,0.0,0.896997,0.967493,0.007459,0.995789,0.98,0.995,0.987863
Unlu_CS=T,downtrend,0.95,30,0.53,16.836667,0.0,0.869118,0.869118,0.328752,1.0,0.62,0.981,0.787401
mixed_CS=T,downtrend,0.95,50,0.53,7.786667,0.0,0.928209,0.943774,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.53,33.683333,0.0,0.727355,0.729862,0.452981,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.53,9.763333,0.0,0.927576,0.927576,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.53,48.706667,0.0,0.60573,0.60573,0.282963,1.0,0.5,0.975,0.707107
mixed_CS=T,downtrend,0.95,30,0.605,4.94,0.0,0.954408,0.967273,0.00236,0.998947,1.0,0.999,0.999474
Unlu_CS=T,downtrend,0.95,30,0.605,18.62,0.0,0.85438,0.85438,0.373675,1.0,0.5,0.975,0.707107
mixed_CS=T,downtrend,0.95,50,0.605,6.97,0.0,0.950661,0.950661,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.605,34.29,0.0,0.677741,0.72405,0.474399,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.605,9.466667,0.0,0.930028,0.930028,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.605,53.083333,0.0,0.506529,0.568209,0.324942,1.0,0.46,0.973,0.678233
mixed_CS=T,downtrend,0.95,30,0.68,6.093333,0.0,0.957906,0.957906,0.003569,1.0,0.96,0.998,0.979796
Unlu_CS=T,downtrend,0.95,30,0.68,19.596667,0.0,0.846309,0.846309,0.463848,1.0,0.42,0.971,0.648074
mixed_CS=T,downtrend,0.95,50,0.68,6.143333,0.0,0.957493,0.957493,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.68,33.013333,0.0,0.735427,0.735427,0.47143,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.68,11.843333,0.0,0.910386,0.910386,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.68,33.946667,0.0,0.727713,0.727713,0.198045,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,30,0.755,5.233333,0.0,0.961791,0.964986,0.001108,0.998947,1.0,0.999,0.999474
Unlu_CS=T,downtrend,0.95,30,0.755,15.966667,0.0,0.876309,0.876309,0.322979,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,50,0.755,6.576667,0.0,0.947493,0.953857,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.755,32.17,0.0,0.739862,0.742369,0.367027,1.0,0.42,0.971,0.648074
mixed_CS=T,downtrend,0.95,80,0.755,7.91,0.0,0.942893,0.942893,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.755,60.896667,0.0,0.504986,0.504986,0.353094,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,30,0.83,5.386667,0.0,0.947603,0.963554,3e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,30,0.83,19.02,0.0,0.848182,0.851019,0.406853,1.0,0.46,0.973,0.678233
mixed_CS=T,downtrend,0.95,50,0.83,5.543333,0.0,0.962452,0.962452,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.83,36.463333,0.0,0.706915,0.706915,0.321285,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.83,6.586667,0.0,0.953829,0.953829,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.83,57.723333,0.0,0.509587,0.530716,0.377113,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,30,0.905,5.283333,0.0,0.964601,0.964601,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,30,0.905,19.05,0.0,0.850826,0.850826,0.382673,1.0,0.46,0.973,0.678233
mixed_CS=T,downtrend,0.95,50,0.905,5.323333,0.0,0.96427,0.96427,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.905,34.64,0.0,0.721983,0.721983,0.526766,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,80,0.905,9.023333,0.0,0.918127,0.933554,1e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.905,42.943333,0.0,0.653361,0.653361,0.317718,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,30,0.98,5.13,0.0,0.965868,0.965868,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,30,0.98,18.873333,0.0,0.826309,0.851956,0.428347,1.0,0.5,0.975,0.707107
mixed_CS=T,downtrend,0.95,50,0.98,6.316667,0.0,0.956061,0.956061,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,0.98,24.48,0.0,0.757741,0.805124,0.202226,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,80,0.98,5.916667,0.0,0.952975,0.959311,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,0.98,52.813333,0.0,0.571791,0.571791,0.359393,1.0,0.4,0.97,0.632456
mixed_CS=T,downtrend,0.95,30,1.055,5.07,0.0,0.966364,0.966364,0.001211,1.0,0.98,0.999,0.98995
Unlu_CS=T,downtrend,0.95,30,1.055,16.73,0.0,0.858209,0.86989,0.348225,1.0,0.6,0.98,0.774597
mixed_CS=T,downtrend,0.95,50,1.055,6.41,0.0,0.955289,0.955289,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,50,1.055,34.013333,0.0,0.709532,0.726915,0.45966,1.0,0.42,0.971,0.648074
mixed_CS=T,downtrend,0.95,80,1.055,6.026667,0.0,0.958457,0.958457,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,80,1.055,15.12,0.0,0.883306,0.883306,0.0,1.0,1.0,1.0,1.0
mixed_CS=T,downtrend,0.95,30,1.13,4.793333,0.0,0.96865,0.96865,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,downtrend,0.95,30,1.13,14.996667,0.0,0.88135,0.884298,0.286933,1.0,0.66,0.983,0.812404
