Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.95,50,1.13,5.0,5.0,13.0,32.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,30.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,38.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,36.0
downtrend,0.95,50,1.13,5.0,6.0,13.0,30.0
downtrend,0.95,50,1.13,6.0,5.0,14.0,34.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,35.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,36.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,37.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,36.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,34.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,31.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,37.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,34.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,34.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,32.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,32.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,30.0
downtrend,0.95,50,1.13,4.0,5.0,13.0,28.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,32.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,36.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,27.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,35.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,28.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,29.0
downtrend,0.95,50,1.13,6.0,6.0,13.0,31.0
downtrend,0.95,50,1.13,6.0,6.0,13.0,31.0
downtrend,0.95,50,1.13,6.0,6.0,13.0,38.0
downtrend,0.95,50,1.13,6.0,5.0,13.0,35.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,38.0
downtrend,0.95,50,1.13,5.0,5.0,15.0,34.0
downtrend,0.95,50,1.13,7.0,7.0,14.0,38.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,31.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,34.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,36.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,37.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,35.0
downtrend,0.95,50,1.13,6.0,6.0,13.0,31.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,30.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,33.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,29.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,36.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,37.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,31.0
downtrend,0.95,50,1.13,5.0,5.0,14.0,31.0
downtrend,0.95,50,1.13,5.0,5.0,13.0,37.0
downtrend,0.95,50,1.13,6.0,6.0,13.0,33.0
downtrend,0.95,50,1.13,6.0,6.0,14.0,34.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,33.0
downtrend,0.95,50,1.13,5.0,6.0,14.0,38.0
