Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.95,80,0.08,15.0,17.0,47.0,47.0
downtrend,0.95,80,0.08,16.0,17.0,43.0,41.0
downtrend,0.95,80,0.08,9.0,11.0,36.0,35.0
downtrend,0.95,80,0.08,12.0,13.0,42.0,40.0
downtrend,0.95,80,0.08,15.0,16.0,44.0,43.0
downtrend,0.95,80,0.08,21.0,22.0,46.0,44.0
downtrend,0.95,80,0.08,3.0,14.0,43.0,41.0
downtrend,0.95,80,0.08,22.0,22.0,40.0,37.0
downtrend,0.95,80,0.08,9.0,12.0,45.0,43.0
downtrend,0.95,80,0.08,21.0,21.0,48.0,46.0
downtrend,0.95,80,0.08,4.0,17.0,43.0,41.0
downtrend,0.95,80,0.08,8.0,11.0,50.0,48.0
downtrend,0.95,80,0.08,20.0,19.0,46.0,44.0
downtrend,0.95,80,0.08,14.0,14.0,45.0,43.0
downtrend,0.95,80,0.08,16.0,16.0,44.0,43.0
downtrend,0.95,80,0.08,3.0,19.0,41.0,39.0
downtrend,0.95,80,0.08,21.0,21.0,43.0,42.0
downtrend,0.95,80,0.08,10.0,12.0,45.0,43.0
downtrend,0.95,80,0.08,11.0,12.0,44.0,41.0
downtrend,0.95,80,0.08,15.0,18.0,40.0,39.0
downtrend,0.95,80,0.08,19.0,21.0,43.0,42.0
downtrend,0.95,80,0.08,3.0,7.0,43.0,41.0
downtrend,0.95,80,0.08,15.0,19.0,40.0,38.0
downtrend,0.95,80,0.08,19.0,20.0,46.0,44.0
downtrend,0.95,80,0.08,6.0,22.0,47.0,44.0
downtrend,0.95,80,0.08,14.0,16.0,45.0,43.0
downtrend,0.95,80,0.08,12.0,12.0,44.0,38.0
downtrend,0.95,80,0.08,12.0,12.0,44.0,43.0
downtrend,0.95,80,0.08,15.0,17.0,42.0,39.0
downtrend,0.95,80,0.08,13.0,19.0,48.0,46.0
downtrend,0.95,80,0.08,6.0,12.0,44.0,43.0
downtrend,0.95,80,0.08,17.0,19.0,46.0,44.0
downtrend,0.95,80,0.08,15.0,16.0,37.0,35.0
downtrend,0.95,80,0.08,16.0,18.0,40.0,38.0
downtrend,0.95,80,0.08,6.0,13.0,39.0,38.0
downtrend,0.95,80,0.08,15.0,15.0,46.0,44.0
downtrend,0.95,80,0.08,12.0,17.0,43.0,41.0
downtrend,0.95,80,0.08,7.0,7.0,40.0,39.0
downtrend,0.95,80,0.08,15.0,16.0,41.0,41.0
downtrend,0.95,80,0.08,13.0,17.0,48.0,48.0
downtrend,0.95,80,0.08,14.0,14.0,44.0,43.0
downtrend,0.95,80,0.08,8.0,9.0,42.0,41.0
downtrend,0.95,80,0.08,7.0,8.0,48.0,46.0
downtrend,0.95,80,0.08,22.0,26.0,48.0,46.0
downtrend,0.95,80,0.08,11.0,13.0,46.0,44.0
downtrend,0.95,80,0.08,19.0,23.0,46.0,46.0
downtrend,0.95,80,0.08,15.0,16.0,39.0,38.0
downtrend,0.95,80,0.08,18.0,21.0,41.0,39.0
downtrend,0.95,80,0.08,12.0,14.0,45.0,44.0
downtrend,0.95,80,0.08,11.0,14.0,43.0,43.0
downtrend,0.95,80,0.08,9.0,9.0,46.0,46.0
downtrend,0.95,80,0.08,13.0,17.0,41.0,38.0
downtrend,0.95,80,0.08,17.0,17.0,44.0,42.0
downtrend,0.95,80,0.08,16.0,17.0,41.0,41.0
downtrend,0.95,80,0.08,8.0,16.0,45.0,45.0
downtrend,0.95,80,0.08,3.0,18.0,40.0,38.0
downtrend,0.95,80,0.08,15.0,19.0,43.0,42.0
downtrend,0.95,80,0.08,20.0,21.0,48.0,46.0
downtrend,0.95,80,0.08,18.0,18.0,43.0,42.0
downtrend,0.95,80,0.08,20.0,20.0,40.0,39.0
downtrend,0.95,80,0.08,22.0,21.0,43.0,42.0
downtrend,0.95,80,0.08,18.0,18.0,43.0,41.0
downtrend,0.95,80,0.08,18.0,20.0,41.0,41.0
downtrend,0.95,80,0.08,11.0,14.0,43.0,41.0
downtrend,0.95,80,0.08,14.0,16.0,45.0,43.0
downtrend,0.95,80,0.08,17.0,18.0,43.0,42.0
downtrend,0.95,80,0.08,13.0,14.0,43.0,42.0
downtrend,0.95,80,0.08,16.0,16.0,42.0,41.0
downtrend,0.95,80,0.08,16.0,16.0,43.0,42.0
downtrend,0.95,80,0.08,13.0,13.0,38.0,36.0
downtrend,0.95,80,0.08,11.0,17.0,45.0,43.0
downtrend,0.95,80,0.08,9.0,15.0,42.0,40.0
downtrend,0.95,80,0.08,16.0,17.0,43.0,42.0
downtrend,0.95,80,0.08,20.0,19.0,47.0,44.0
downtrend,0.95,80,0.08,7.0,8.0,43.0,41.0
downtrend,0.95,80,0.08,6.0,17.0,43.0,42.0
downtrend,0.95,80,0.08,5.0,14.0,45.0,44.0
downtrend,0.95,80,0.08,14.0,18.0,47.0,46.0
downtrend,0.95,80,0.08,11.0,20.0,45.0,45.0
downtrend,0.95,80,0.08,16.0,17.0,41.0,40.0
downtrend,0.95,80,0.08,16.0,17.0,43.0,41.0
downtrend,0.95,80,0.08,4.0,6.0,45.0,32.0
downtrend,0.95,80,0.08,16.0,17.0,42.0,40.0
downtrend,0.95,80,0.08,5.0,8.0,45.0,28.0
downtrend,0.95,80,0.08,15.0,15.0,41.0,40.0
downtrend,0.95,80,0.08,13.0,13.0,44.0,45.0
downtrend,0.95,80,0.08,10.0,11.0,47.0,45.0
downtrend,0.95,80,0.08,11.0,11.0,41.0,39.0
downtrend,0.95,80,0.08,16.0,17.0,44.0,43.0
downtrend,0.95,80,0.08,10.0,11.0,43.0,43.0
downtrend,0.95,80,0.08,11.0,12.0,43.0,39.0
downtrend,0.95,80,0.08,9.0,11.0,42.0,37.0
