,time_window,abnormality_value,monitoring_method,valid_loss,itest_loss,btest_loss,valid_specificity,itest_specificity,btest_specificity,valid_sensitivity,itest_sensitivity,btest_sensitivity,valid_accuracy,itest_accuracy,btest_accuracy,valid_gmean,itest_gmean,btest_gmean,train_time
0,30,1.28,loss_method,0.07182145118713379,0.059676505625247955,0.08139914274215698,0.975789487361908,0.975789487361908,0.9539999961853027,0.699999988079071,0.7200000286102295,0.7039999961853027,0.9620000123977661,0.9629999995231628,0.8289999961853027,0.8264700174331665,0.8381935358047485,0.8195217847824097,137.9445185661316
1,30,1.28,gmean_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
2,30,1.28,both_0.1_method,0.07182145118713379,0.059676505625247955,0.08139914274215698,0.975789487361908,0.975789487361908,0.9539999961853027,0.699999988079071,0.7200000286102295,0.7039999961853027,0.9620000123977661,0.9629999995231628,0.8289999961853027,0.8264700174331665,0.8381935358047485,0.8195217847824097,137.9445185661316
3,30,1.28,both_0.2_method,0.07182145118713379,0.059676505625247955,0.08139914274215698,0.975789487361908,0.975789487361908,0.9539999961853027,0.699999988079071,0.7200000286102295,0.7039999961853027,0.9620000123977661,0.9629999995231628,0.8289999961853027,0.8264700174331665,0.8381935358047485,0.8195217847824097,137.9445185661316
4,30,1.28,both_0.30000000000000004_method,0.07182145118713379,0.059676505625247955,0.08139914274215698,0.975789487361908,0.975789487361908,0.9539999961853027,0.699999988079071,0.7200000286102295,0.7039999961853027,0.9620000123977661,0.9629999995231628,0.8289999961853027,0.8264700174331665,0.8381935358047485,0.8195217847824097,137.9445185661316
5,30,1.28,both_0.4_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
6,30,1.28,both_0.5_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
7,30,1.28,both_0.6_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
8,30,1.28,both_0.7000000000000001_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
9,30,1.28,both_0.8_method,0.07243648171424866,0.05848228558897972,0.08049804717302322,0.9684210419654846,0.9684210419654846,0.9480000138282776,0.7400000095367432,0.7400000095367432,0.7300000190734863,0.9570000171661377,0.9570000171661377,0.8389999866485596,0.8465409278869629,0.8465409278869629,0.8318894505500793,138.93311595916748
