Time window,0.005,0.08,0.155,0.23,0.305,0.38,0.455,0.53,0.605,0.68,0.755,0.83,0.905,0.98,1.055,1.13,1.205,1.28,1.355,1.43,1.505,1.58,1.655,1.73,1.805
100,0.628000020980835,0.9829999804496765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,0.6669999957084656,0.9800000190734863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,0.527999997138977,0.9359999895095825,0.996999979019165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,0.5680000185966492,0.9120000004768372,0.9959999918937683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.5,0.890999972820282,0.9480000138282776,0.9860000014305115,1.0,1.0,1.0,0.9990000128746033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.5,0.8930000066757202,0.902999997138977,0.9710000157356262,0.9909999966621399,1.0,1.0,0.9990000128746033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.5009999871253967,0.8610000014305115,0.9120000004768372,0.949999988079071,0.9580000042915344,0.9909999966621399,0.9980000257492065,1.0,1.0,1.0,1.0,1.0,0.972000002861023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.4950000047683716,0.8069999814033508,0.8889999985694885,0.8949999809265137,0.9120000004768372,0.9409999847412109,0.968999981880188,0.9769999980926514,0.9900000095367432,1.0,0.9909999966621399,0.9980000257492065,1.0,0.9980000257492065,0.9980000257492065,0.9990000128746033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.5,0.6819999814033508,0.7860000133514404,0.8209999799728394,0.8629999756813049,0.8889999985694885,0.8939999938011169,0.906000018119812,0.9039999842643738,0.9279999732971191,0.925000011920929,0.9399999976158142,0.9739999771118164,0.9649999737739563,0.972000002861023,0.9810000061988831,0.9900000095367432,0.9940000176429749,0.9950000047683716,0.9860000014305115,0.9940000176429749,0.9900000095367432,0.996999979019165,0.9959999918937683,0.9940000176429749
10,0.5,0.5,0.5659999847412109,0.6389999985694885,0.6930000185966492,0.7229999899864197,0.7639999985694885,0.7839999794960022,0.8059999942779541,0.8209999799728394,0.8289999961853027,0.8560000061988831,0.8460000157356262,0.8610000014305115,0.8460000157356262,0.8849999904632568,0.871999979019165,0.878000020980835,0.8930000066757202,0.9010000228881836,0.8939999938011169,0.8999999761581421,0.9010000228881836,0.9010000228881836,0.9020000100135803
