Time window,0.005,0.08,0.155,0.23,0.305,0.38,0.455,0.53,0.605,0.68,0.755,0.83,0.905,0.98,1.055,1.13,1.205,1.28,1.355,1.43,1.505,1.58,1.655,1.73,1.805
100,0.5271971225738525,0.9889068603515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,0.4768316447734833,0.9481838345527649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,0.31556132435798645,0.9370951652526855,0.9994735717773438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,0.3381061553955078,0.9321395754814148,0.9792800545692444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.19767063856124878,0.9306477904319763,0.9889068603515625,0.9994735717773438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.1998947113752365,0.87177973985672,0.9150668382644653,1.0,0.9984198212623596,0.9968370795249939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.0,0.8353378772735596,0.8920703530311584,0.9366007447242737,0.966469407081604,0.9889068603515625,0.9797958731651306,1.0,1.0,1.0,1.0,1.0,0.9899495244026184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.0,0.8202695250511169,0.8340137600898743,0.9050617814064026,0.9141000509262085,0.9131322503089905,0.958156168460846,0.9792800545692444,0.9894283413887024,0.9984198212623596,1.0,0.9994735717773438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.0,0.6125357151031494,0.7483314871788025,0.8467398881912231,0.8831760883331299,0.881314754486084,0.8939563035964966,0.8939563035964966,0.9050617814064026,0.9268736243247986,0.947184145450592,0.9586613774299622,0.9375892877578735,0.9695359468460083,0.9889068603515625,0.9984198212623596,1.0,0.9894283413887024,0.9797958731651306,0.9797958731651306,1.0,0.9695359468460083,1.0,0.9797958731651306,1.0
10,0.0,0.0,0.5042346715927124,0.6112282276153564,0.7551367878913879,0.7195904850959778,0.7595704793930054,0.8304722905158997,0.8233180642127991,0.844050407409668,0.8794495463371277,0.8566028475761414,0.8803826570510864,0.8803826570510864,0.8915982246398926,0.8708616495132446,0.8775804042816162,0.8930137753486633,0.8939563035964966,0.8939563035964966,0.9055384993553162,0.9036300778388977,0.9045848250389099,0.8934851884841919,0.8939563035964966
