Pattern,Window Length,Abnormality Value,Monitoring Method,valid_loss,itest_loss,btest_loss,valid_specificity,itest_specificity,btest_specificity,valid_sensitivity,itest_sensitivity,btest_sensitivity,valid_accuracy,itest_accuracy,btest_accuracy,valid_gmean,itest_gmean,btest_gmean,train_time,Method,Distance Valid,Distance Test,Distance ITest,Kappa,Min Distance Test,Is_Min
Cyclic,30,0.005,both_0.2_method,0.214442297816276,0.214592218399047,0.221511542797088,0.588421046733856,0.579999983310699,0.540000021457672,0.560000002384185,0.560000002384185,0.430000007152557,0.587000012397766,0.578999996185302,0.485000014305114,0.574034631252288,0.569912254810333,0.481871366500854,213.056471586227,BES,0.4768983062090897,0.5634932514627291,0.48065090113278286,0.2,0.5634932514627291,True
Cyclic,30,0.005,loss_method,0.21123120188713,0.20845590531826,0.21186240017414,0.587368428707122,0.609473705291748,0.546000003814697,0.280000001192092,0.439999997615814,0.404000014066696,0.57200002670288,0.601000010967254,0.474999994039535,0.405540585517883,0.517849802970886,0.469663709402084,139.698286294937,LES,0.6308729001289426,0.5710886601331746,0.5252834253593661,0.0,0.5634932514627291,False
Cyclic,30,0.005,gmean_method,0.214442297816276,0.214592218399047,0.221511542797088,0.588421046733856,0.579999983310699,0.540000021457672,0.560000002384185,0.560000002384185,0.430000007152557,0.587000012397766,0.578999996185302,0.485000014305114,0.574034631252288,0.569912254810333,0.481871366500854,213.056471586227,GES,0.4768983062090897,0.5634932514627291,0.48065090113278286,110.0,0.5634932514627291,True
Cyclic,30,0.08,both_0.1_method,0.208461627364158,0.211421400308609,0.214775934815406,0.496842116117477,0.50947368144989,0.486000001430511,0.579999983310699,0.5,0.451999992132186,0.500999987125396,0.50900000333786,0.46900001168251,0.536813199520111,0.504714608192443,0.468691766262054,127.440147876739,BES,0.5079352933416909,0.5730769070670771,0.5385226344792003,0.1,0.5730769070670771,True
Cyclic,30,0.08,loss_method,0.207666307687759,0.208064407110214,0.209073483943939,0.90105265378952,0.902105271816253,0.921999990940094,0.100000001490116,0.140000000596046,0.0700000002980232,0.861000001430511,0.864000022411346,0.495999991893768,0.300175368785858,0.355379700660705,0.254047214984893,118.173096179962,LES,0.7299861709667362,0.7746981858506259,0.6773670554628466,0.0,0.5730769070670771,False
Cyclic,30,0.08,gmean_method,0.212657645344734,0.21210578083992,0.216444209218025,0.581052660942077,0.565263152122497,0.564000010490417,0.5,0.439999997615814,0.375999987125396,0.577000021934509,0.559000015258789,0.469999998807907,0.539004921913147,0.498714119195938,0.460504055023193,126.474028110504,GES,0.507680742340962,0.581295080273723,0.544312774569196,110.0,0.5730769070670771,False
Cyclic,30,0.155,both_0.1_method,0.212375432252883,0.206591188907623,0.212264165282249,0.725263178348541,0.687368392944335,0.703999996185302,0.439999997615814,0.439999997615814,0.330000013113021,0.711000025272369,0.675000011920929,0.517000019550323,0.564903318881988,0.549947381019592,0.481995850801467,165.558670282363,BES,0.4841615909430527,0.5598074440822183,0.4952042802575413,0.1,0.5598074440822183,True
Cyclic,30,0.155,loss_method,0.208933308720588,0.207883700728416,0.209098115563392,0.90421050786972,0.876842081546783,0.878000020980835,0.140000000596046,0.200000002980232,0.123999997973442,0.865999996662139,0.842999994754791,0.500999987125396,0.355794161558151,0.418770104646682,0.329957574605941,122.629901409149,LES,0.6772402009446118,0.7019108730886813,0.6172874729661785,0.0,0.5598074440822183,False
Cyclic,30,0.155,gmean_method,0.212375432252883,0.206591188907623,0.212264165282249,0.725263178348541,0.687368392944335,0.703999996185302,0.439999997615814,0.439999997615814,0.330000013113021,0.711000025272369,0.675000011920929,0.517000019550323,0.564903318881988,0.549947381019592,0.481995850801467,165.558670282363,GES,0.4841615909430527,0.5598074440822183,0.4952042802575413,110.0,0.5598074440822183,True
Cyclic,30,0.23,both_0.1_method,0.20836317539215,0.20875371992588,0.207510411739349,0.581052660942077,0.583157896995544,0.620000004768371,0.639999985694885,0.379999995231628,0.437999993562698,0.583999991416931,0.573000013828277,0.528999984264373,0.609814465045929,0.47074407339096,0.5211141705513,193.981803655624,BES,0.4423346748186202,0.5219120698230723,0.568937563739367,0.1,0.5135670511234474,False
Cyclic,30,0.23,loss_method,0.207405745983123,0.212631314992904,0.20908984541893,0.543157875537872,0.541052639484405,0.579999983310699,0.600000023841857,0.46000000834465,0.486000001430511,0.546000003814697,0.537000000476837,0.532999992370605,0.570871889591217,0.498882979154586,0.530923724174499,166.379662513732,LES,0.4766215255418374,0.5135670511234474,0.5443623285061105,0.0,0.5135670511234474,True
Cyclic,30,0.23,gmean_method,0.20836317539215,0.20875371992588,0.207510411739349,0.581052660942077,0.583157896995544,0.620000004768371,0.639999985694885,0.379999995231628,0.437999993562698,0.583999991416931,0.573000013828277,0.528999984264373,0.609814465045929,0.47074407339096,0.5211141705513,193.981803655624,GES,0.4423346748186202,0.5219120698230723,0.568937563739367,110.0,0.5135670511234474,False
Cyclic,30,0.305,both_0.2_method,0.209068670868873,0.212162792682647,0.211479097604751,0.637894749641418,0.605263173580169,0.589999973773956,0.379999995231628,0.419999986886978,0.400000005960464,0.625,0.596000015735626,0.495000004768371,0.492341339588165,0.504192948341369,0.485798299312591,166.821807146072,BES,0.5490237013372155,0.5559917245009529,0.5392936890724054,0.2,0.5439958323237672,False
