Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
uptrend,0.9,50,0.38,8.0,8.0,27.0,32.0
uptrend,0.9,50,0.38,9.0,9.0,31.0,32.0
uptrend,0.9,50,0.38,7.0,7.0,29.0,31.0
uptrend,0.9,50,0.38,9.0,9.0,31.0,35.0
uptrend,0.9,50,0.38,7.0,7.0,30.0,32.0
uptrend,0.9,50,0.38,9.0,9.0,30.0,31.0
uptrend,0.9,50,0.38,8.0,8.0,29.0,31.0
uptrend,0.9,50,0.38,9.0,8.0,31.0,34.0
uptrend,0.9,50,0.38,6.0,6.0,29.0,32.0
uptrend,0.9,50,0.38,9.0,9.0,30.0,35.0
uptrend,0.9,50,0.38,5.0,5.0,29.0,32.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,33.0
uptrend,0.9,50,0.38,9.0,8.0,31.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,32.0,34.0
uptrend,0.9,50,0.38,9.0,8.0,29.0,30.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,29.0,33.0
uptrend,0.9,50,0.38,9.0,9.0,31.0,36.0
uptrend,0.9,50,0.38,9.0,8.0,27.0,27.0
uptrend,0.9,50,0.38,9.0,8.0,31.0,33.0
uptrend,0.9,50,0.38,7.0,7.0,29.0,33.0
uptrend,0.9,50,0.38,10.0,10.0,33.0,36.0
uptrend,0.9,50,0.38,10.0,10.0,28.0,29.0
uptrend,0.9,50,0.38,9.0,9.0,31.0,31.0
uptrend,0.9,50,0.38,9.0,8.0,32.0,35.0
uptrend,0.9,50,0.38,10.0,8.0,30.0,32.0
uptrend,0.9,50,0.38,11.0,10.0,29.0,33.0
uptrend,0.9,50,0.38,8.0,8.0,30.0,33.0
uptrend,0.9,50,0.38,10.0,10.0,29.0,29.0
uptrend,0.9,50,0.38,10.0,9.0,28.0,29.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,34.0
uptrend,0.9,50,0.38,6.0,6.0,29.0,30.0
uptrend,0.9,50,0.38,10.0,10.0,30.0,32.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,35.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,33.0
uptrend,0.9,50,0.38,6.0,7.0,32.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,32.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,30.0,32.0
uptrend,0.9,50,0.38,7.0,7.0,28.0,32.0
uptrend,0.9,50,0.38,7.0,7.0,31.0,35.0
uptrend,0.9,50,0.38,10.0,10.0,32.0,33.0
uptrend,0.9,50,0.38,9.0,10.0,32.0,34.0
uptrend,0.9,50,0.38,8.0,7.0,24.0,24.0
uptrend,0.9,50,0.38,10.0,10.0,30.0,30.0
uptrend,0.9,50,0.38,9.0,9.0,30.0,33.0
uptrend,0.9,50,0.38,8.0,8.0,30.0,32.0
uptrend,0.9,50,0.38,9.0,10.0,33.0,35.0
uptrend,0.9,50,0.38,9.0,9.0,27.0,28.0
uptrend,0.9,50,0.38,8.0,8.0,32.0,33.0
uptrend,0.9,50,0.38,7.0,7.0,30.0,33.0
uptrend,0.9,50,0.38,9.0,9.0,33.0,36.0
uptrend,0.9,50,0.38,10.0,10.0,29.0,33.0
uptrend,0.9,50,0.38,6.0,6.0,29.0,32.0
uptrend,0.9,50,0.38,7.0,6.0,31.0,32.0
uptrend,0.9,50,0.38,8.0,8.0,31.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,31.0,34.0
uptrend,0.9,50,0.38,7.0,7.0,30.0,34.0
uptrend,0.9,50,0.38,9.0,9.0,32.0,33.0
uptrend,0.9,50,0.38,6.0,6.0,32.0,33.0
